ID,Date,Latitude,Longitude,Value
1,1830-01-01,17,98,0.723598237
2,1840-01-01,17,98,0.726651091
3,1850-01-01,17,98,0.807845224
4,1860-01-01,17,98,0.825897574
5,1870-01-01,17,98,0.730970146
6,1880-01-01,17,98,0.841540407
7,1890-01-01,17,98,0.852042749
